id,word,correct_type
1,감동,이름
2,게시판,이름
3,결과,이름
4,고려,이름
5,공장,이름
6,규칙,이름
7,기분,이름
8,당번,이름
9,동네,이름
10,목적,이름
11,가구,이름
12,갈등,이름
13,감시,이름
14,고령화,이름
15,권리,이름
16,교육,이름
17,규범,이름
18,금융,이름
19,명절,이름
20,문화,이름
21,가분수,이름
22,계표표,이름
23,공백,이름
24,공학자,이름
25,기록,이름
26,기호,이름
27,나눗셈,이름
28,단위,이름
29,대분수,이름
30,가치,이름
31,감염,이름
32,건강,이름
33,격리,이름
34,공감,이름
35,금지,이름
36,기체,이름
37,길이,이름
38,독감,이름
39,면역체,이름
40,대상,이름
41,자동차,이름
42,음악,이름
43,미술,이름
44,식물,이름
45,동물,이름
46,학교,이름
47,컴퓨터,이름
48,텔레비전,이름
49,신문,이름
50,책,이름
51,강아지,이름
52,엄마,이름
53,아빠,이름
54,하늘,이름
55,도시,이름
56,시골,이름
57,어머니,이름
58,책상,이름
59,의자,이름
60,전철,이름
61,우유,이름
62,사랑,이름
63,우정,이름
64,평화,이름
65,전쟁,이름
66,미래,이름
67,과거,이름
68,현재,이름
69,습관,이름
70,재능,이름
71,질문,이름
72,대답,이름
73,자전거,이름
74,가방,이름
75,컵,이름
76,접시,이름
77,젓가락,이름
78,수저,이름
79,열쇠,이름
80,주머니,이름
81,모자,이름
82,장갑,이름
83,양말,이름
84,운동화,이름
85,구두,이름
86,목도리,이름
87,휴대폰,이름
88,시계,이름
89,달력,이름
90,종이,이름
91,풀,이름
92,테이프,이름
93,가위,이름
94,소금,이름
95,설탕,이름
96,쌀,이름
97,김치,이름
98,된장,이름
99,고추장,이름
100,간장,이름
101,먹다,움직임
102,달리다,움직임
103,자다,움직임
104,읽다,움직임
105,쓰다,움직임
106,공부하다,움직임
107,헤엄치다,움직임
108,가르치다,움직임
109,돕다,움직임
110,짓다,움직임
111,숨 쉬다,움직임
112,놀다,움직임
113,말하다,움직임
114,듣다,움직임
115,보다,움직임
116,춤추다,움직임
117,뛰다,움직임
118,걷다,움직임
119,서다,움직임
120,앉다,움직임
121,열다,움직임
122,닫다,움직임
123,던지다,움직임
124,잡다,움직임
125,닦다,움직임
126,씻다,움직임
127,운전하다,움직임
128,만들다,움직임
129,부르다,움직임
130,그리다,움직임
131,가져오다,움직임
132,버리다,움직임
133,입다,움직임
134,벗다,움직임
135,울다,움직임
136,웃다,움직임
137,사다,움직임
138,팔다,움직임
139,이사하다,움직임
140,잃다,움직임
141,찾다,움직임
142,주다,움직임
143,받다,움직임
144,부탁하다,움직임
145,싸우다,움직임
146,화해하다,움직임
147,생각하다,움직임
148,기억하다,움직임
149,잊다,움직임
150,약속하다,움직임
151,시작하다,움직임
152,마치다,움직임
153,준비하다,움직임
154,떠나다,움직임
155,도착하다,움직임
156,걸리다,움직임
157,고치다,움직임
158,여행하다,움직임
159,구경하다,움직임
160,낚시하다,움직임
161,노래하다,움직임
162,쉬다,움직임
163,기다리다,움직임
164,데리다,움직임
165,오르다,움직임
166,내리다,움직임
167,피다,움직임
168,모이다,움직임
169,흩어지다,움직임
170,축하하다,움직임
171,계산하다,움직임
172,선물하다,움직임
173,빌리다,움직임
174,돌려주다,움직임
175,연습하다,움직임
176,도전하다,움직임
177,성장하다,움직임
178,발전하다,움직임
179,포기하다,움직임
180,취소하다,움직임
181,환영하다,움직임
182,배웅하다,움직임
183,가져가다,움직임
184,내려가다,움직임
185,올라오다,움직임
186,들어가다,움직임
187,나오다,움직임
188,바꾸다,움직임
189,연결하다,움직임
190,자르다,움직임
191,붙이다,움직임
192,떨어지다,움직임
193,터지다,움직임
194,무너지다,움직임
195,세우다,움직임
196,옮기다,움직임
197,가꾸다,움직임
198,심다,움직임
199,뽑다,움직임
200,바르다,움직임
201,예쁘다,성질/상태
202,착하다,성질/상태
203,맵다,성질/상태
204,빠르다,성질/상태
205,맑다,성질/상태
206,시끄럽다,성질/상태
207,좁다,성질/상태
208,덥다,성질/상태
209,가볍다,성질/상태
210,어렵다,성질/상태
211,크다,성질/상태
212,작다,성질/상태
213,느리다,성질/상태
214,높다,성질/상태
215,낮다,성질/상태
216,깊다,성질/상태
217,넓다,성질/상태
218,길다,성질/상태
219,짧다,성질/상태
220,친절하다,성질/상태
221,조용하다,성질/상태
222,밝다,성질/상태
223,어둡다,성질/상태
224,따뜻하다,성질/상태
225,차갑다,성질/상태
226,굵다,성질/상태
227,얇다,성질/상태
228,시원하다,성질/상태
229,아름답다,성질/상태
230,강하다,성질/상태
231,약하다,성질/상태
232,달콤하다,성질/상태
233,싱겁다,성질/상태
234,무겁다,성질/상태
235,쉽다,성질/상태
236,괜찮다,성질/상태
237,정직하다,성질/상태
238,재미있다,성질/상태
239,고맙다,성질/상태
240,행복하다,성질/상태
241,슬프다,성질/상태
242,화나다,성질/상태
243,멋있다,성질/상태
244,귀엽다,성질/상태
245,배고프다,성질/상태
246,배부르다,성질/상태
247,목마르다,성질/상태
248,괴롭다,성질/상태
249,기쁘다,성질/상태
250,만족스럽다,성질/상태
251,지루하다,성질/상태
252,재미없다,성질/상태
253,고요하다,성질/상태
254,복잡하다,성질/상태
255,간단하다,성질/상태
256,튼튼하다,성질/상태
257,부드럽다,성질/상태
258,딱딱하다,성질/상태
259,비싸다,성질/상태
260,싸다,성질/상태
261,비슷하다,성질/상태
262,다르다,성질/상태
263,안전하다,성질/상태
264,위험하다,성질/상태
265,불가능하다,성질/상태
266,충분하다,성질/상태
267,부족하다,성질/상태
268,가능하다,성질/상태
269,놀랍다,성질/상태
270,자랑스럽다,성질/상태
271,두렵다,성질/상태
272,익숙하다,성질/상태
273,낯설다,성질/상태
274,소중하다,성질/상태
275,깔끔하다,성질/상태
276,더럽다,성질/상태
277,무서워하다,성질/상태
278,부끄럽다,성질/상태
279,어리석다,성질/상태
280,똑똑하다,성질/상태
281,외롭다,성질/상태
282,고독하다,성질/상태
283,따분하다,성질/상태
284,화창하다,성질/상태
285,흐리다,성질/상태
286,시큼하다,성질/상태
287,달다,성질/상태
288,쓰다,성질/상태
289,짜다,성질/상태
290,미끄럽다,성질/상태
291,거칠다,성질/상태
292,어색하다,성질/상태
293,자연스럽다,성질/상태
294,투명하다,성질/상태
295,불투명하다,성질/상태
296,신선하다,성질/상태
297,싱싱하다,성질/상태
298,오래되다,성질/상태
299,새롭다,성질/상태
300,부족하다,성질/상태
301,풍부하다,성질/상태
302,교실,이름
303,고향,이름
304,시청,이름
305,가족,이름
306,축구,이름
307,시간,이름
308,공책,이름
309,연필,이름